partida_id,temporada,rodada,clube,clube_slug,chutes,chutes_no_alvo,posse_de_bola_pct,passes,precisao_passes_pct,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,scouts_validos
167,2003,14,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
168,2003,15,Vasco,vasco,0,0,,0,,0,0,0,0,0,False
168,2003,15,Fortaleza,fortaleza,0,0,,0,,0,0,0,0,0,False
169,2003,15,Coritiba,coritiba,0,0,,0,,0,0,0,0,0,False
169,2003,15,Sao Caetano,sao_caetano,0,0,,0,,0,0,0,0,0,False
170,2003,15,Juventude,juventude,0,0,,0,,0,0,0,0,0,False
170,2003,15,Gremio,gremio,0,0,,0,,0,0,0,0,0,False
171,2003,15,Santos,santos,0,0,,0,,0,0,0,0,0,False
171,2003,15,Bahia,bahia,0,0,,0,,0,0,0,0,0,False
172,2003,15,Figueirense,figueirense,0,0,,0,,0,0,0,0,0,False
172,2003,15,Flamengo,flamengo,0,0,,0,,0,0,0,0,0,False
173,2003,15,Corinthians,corinthians,0,0,,0,,0,0,0,0,0,False
173,2003,15,Fluminense,fluminense,0,0,,0,,0,0,0,0,0,False
